rda_id,tm,ta,tx,tn,rh,wd,ws,rn,sh,si,sw,st_x,st_y
536824B002,2022-01-01,-1.8,6.0,-7.7,51.1,315.0,0.5,0.0,6.783333333,10.9,,126.6502991,34.58164263
536824B002,2022-01-02,-1.9,7.7,-8.8,74.9,270.0,0.6,0.0,3.983333333,7.6,,126.6502991,34.58164263
536824B002,2022-01-03,-2.5,5.2,-9.5,76.1,292.5,0.5,0.0,6.833333333,11.6,,126.6502991,34.58164263
536824B002,2022-01-04,-0.2,5.8,-6.7,66.0,292.5,0.9,0.0,6.116666667,10.1,,126.6502991,34.58164263
536824B002,2022-01-05,0.7,4.8,-1.6,56.7,0.0,0.2,0.5,0.0,3.6,,126.6502991,34.58164263
536824B002,2022-01-06,0.8,5.9,-5.2,60.6,292.5,1.2,1.0,7.083333333,11.3,,126.6502991,34.58164263
536824B002,2022-01-07,-3.1,7.3,-10.0,70.8,315.0,0.2,0.0,6.933333333,11.9,,126.6502991,34.58164263
536824B002,2022-01-08,-2.1,6.2,-10.0,76.0,292.5,0.6,0.0,7.25,11.6,,126.6502991,34.58164263
536824B002,2022-01-09,-0.3,8.0,-5.5,80.3,292.5,0.4,0.0,4.35,7.7,,126.6502991,34.58164263
536824B002,2022-01-10,-0.2,8.3,-7.6,74.6,292.5,0.6,0.0,6.366666667,10.3,,126.6502991,34.58164263
536824B002,2022-01-11,-0.9,2.8,-3.1,70.8,292.5,2.5,0.5,3.566666667,8.6,,126.6502991,34.58164263
536824B002,2022-01-12,-2.2,1.1,-4.5,69.6,292.5,1.1,0.0,4.283333333,9.5,,126.6502991,34.58164263
536824B002,2022-01-13,-2.6,0.8,-7.1,75.0,292.5,1.7,0.5,4.35,9.0,,126.6502991,34.58164263
